"dialogue_id","movie_title","movie_chapter","chapter_id","place_name","place_category","character_name","gender","house","species","dialogue","dialogue_no_spells"
1047,"Harry Potter and the Chamber of Secrets",5,39,"Flourish & Blotts","Diagon Alley","Hermione Granger","Female","Gryffindor","Human","What did you do to your glasses? Oculus reparo.","What did you do to your glasses? Oculus reparo."
1044,"Harry Potter and the Chamber of Secrets",5,39,"Flourish & Blotts","Diagon Alley","Rubeus Hagrid","Male","Gryffindor","Half-Human/Half-Giant","Hello, Hermione!","Hello, Hermione!"
1042,"Harry Potter and the Chamber of Secrets",5,39,"Flourish & Blotts","Diagon Alley","Rubeus Hagrid","Male","Gryffindor","Half-Human/Half-Giant","Me? Oh, I was um I was lookin' for Flesh-Eatin' Slug Repellent. They're ruinin' all the school cabbages.","Me? Oh, I was um I was lookin' for Flesh-Eatin' Slug Repellent. They're ruinin' all the school cabbages."
1041,"Harry Potter and the Chamber of Secrets",5,39,"Flourish & Blotts","Diagon Alley","Harry Potter","Male","Gryffindor","Human","I was lost, I- hang on. What were you doing down there, then?","I was lost, I- hang on. What were you doing down there, then?"
1068,"Harry Potter and the Chamber of Secrets",6,40,"Flourish & Blotts","Diagon Alley","Lucius Malfoy","Male","Slytherin","Human","Hmm. You must be very brave, to mention his nameor very foolish.","Hmm. You must be very brave, to mention his nameor very foolish."
1069,"Harry Potter and the Chamber of Secrets",6,40,"Flourish & Blotts","Diagon Alley","Hermione Granger","Female","Gryffindor","Human","Fear of a name only increase fear of the thing itself.","Fear of a name only increase fear of the thing itself."
1073,"Harry Potter and the Chamber of Secrets",6,40,"Flourish & Blotts","Diagon Alley","Arthur Weasley","Male","Gryffindor","Human","Lucius.","Lucius."
1063,"Harry Potter and the Chamber of Secrets",6,40,"Flourish & Blotts","Diagon Alley","Draco Malfoy","Male","Slytherin","Human","I'll bet you loved that, didn't you, Potter? Famous Harry Potter! Can't even go into a bookshop without making the front page.","I'll bet you loved that, didn't you, Potter? Famous Harry Potter! Can't even go into a bookshop without making the front page."
1045,"Harry Potter and the Chamber of Secrets",5,39,"Flourish & Blotts","Diagon Alley","Hermione Granger","Female","Gryffindor","Human","Oh, it's so good to see you!","Oh, it's so good to see you!"
1067,"Harry Potter and the Chamber of Secrets",6,40,"Flourish & Blotts","Diagon Alley","Harry Potter","Male","Gryffindor","Human","Voldemort killed my parents. He was nothing more than a murderer.","Voldemort killed my parents. He was nothing more than a murderer."
1055,"Harry Potter and the Chamber of Secrets",6,40,"Flourish & Blotts","Diagon Alley","Other","","","","Ladies and gentlemen, Mr. Gilderoy Lockhart.","Ladies and gentlemen, Mr. Gilderoy Lockhart."
